City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
tautira,pf,-17.73,-149.15,87.35,66,75,16.11
cape town,za,-33.93,18.42,65.35,88,0,13.87
hermanus,za,-34.42,19.24,64.78,94,56,2.68
punta arenas,cl,-53.16,-70.91,53.24,54,75,28.86
vaini,to,-21.2,-175.2,82.4,69,75,12.75
hobart,au,-42.88,147.33,55.83,41,20,24.16
alofi,nu,-19.06,-169.92,84.2,58,44,16.11
hambantota,lk,6.12,81.12,73.4,100,0,3.36
jamestown,sh,-15.94,-5.72,76.99,100,32,17.45
senneterre,ca,48.39,-77.24,23.0,35,20,6.93
oyem,ga,1.6,11.57,73.93,92,88,2.8
tiksi,ru,71.64,128.87,-14.36,43,32,2.68
meulaboh,id,4.14,96.13,76.54,100,0,4.03
dickinson,us,46.88,-102.79,30.83,92,90,9.17
rikitea,pf,-23.12,-134.97,78.97,99,64,13.76
jalu,ly,29.03,21.55,62.5,52,0,12.97
hasaki,jp,35.73,140.83,38.55,75,75,8.05
maldonado,uy,-34.91,-54.96,62.6,72,75,26.4
saskylakh,ru,71.97,114.09,-16.79,48,56,2.91
fairbanks,us,64.84,-147.72,45.99,52,40,4.7
vostok,ru,46.45,135.83,25.51,96,88,2.13
mount isa,au,-20.73,139.49,78.8,78,90,16.11
naryan-mar,ru,67.67,53.09,29.11,85,80,12.08
guerrero negro,mx,27.97,-114.04,72.49,46,12,12.64
zhigansk,ru,66.77,123.37,-4.91,81,0,6.38
bria,cf,6.54,21.99,80.95,57,0,10.74
torbay,ca,47.66,-52.73,32.99,80,20,21.92
georgetown,sh,-7.93,-14.42,81.85,100,80,9.73
khatanga,ru,71.98,102.47,4.72,69,80,10.29
ushuaia,ar,-54.81,-68.31,59.0,69,75,8.05
padang,id,-0.92,100.36,73.4,100,40,2.24
atuona,pf,-9.8,-139.03,82.12,100,36,15.99
ancud,cl,-41.87,-73.83,57.2,67,68,9.17
kununurra,au,-15.77,128.74,78.8,83,0,5.82
simbahan,ph,6.3,120.58,80.86,100,88,1.68
the pas,ca,53.82,-101.24,23.0,35,1,5.82
faanui,pf,-16.48,-151.75,85.72,96,44,14.54
flinders,au,-34.58,150.85,71.96,56,0,12.75
sur,om,22.57,59.53,71.86,100,24,12.97
bluff,nz,-46.6,168.33,64.99,90,68,1.99
atambua,id,-9.11,124.89,78.79,100,48,3.8
kupang,id,-10.16,123.6,75.2,94,75,2.24
lagoa,pt,37.14,-8.45,59.7,77,0,8.05
albury,au,-36.08,146.92,63.18,93,90,13.87
hilo,us,19.71,-155.08,70.74,83,90,6.93
avarua,ck,-21.21,-159.78,82.4,88,80,9.17
dikson,ru,73.51,80.55,22.18,94,80,36.57
najran,sa,17.54,44.22,77.0,29,0,4.7
talnakh,ru,69.49,88.39,14.71,86,88,8.16
pueblo nuevo,mx,23.99,-106.96,84.0,47,0,5.99
bintulu,my,3.17,113.03,73.15,100,75,2.24
berga,es,42.1,1.85,50.09,54,0,2.24
noumea,nc,-22.28,166.46,82.4,65,0,9.17
scarborough,tt,11.18,-60.73,82.4,61,20,11.41
warri,ng,5.52,5.75,80.5,75,44,7.83
palmar de varela,co,10.74,-74.75,82.15,74,0,14.99
port elizabeth,za,-33.92,25.57,69.8,94,75,17.22
bilma,ne,18.69,12.92,78.88,13,56,16.67
tasiilaq,gl,65.61,-37.64,21.2,73,92,33.33
boguchany,ru,58.38,97.46,22.9,64,92,5.14
butaritari,ki,3.07,172.79,82.75,100,76,8.39
new norfolk,au,-42.78,147.06,55.96,38,20,24.16
necochea,ar,-38.55,-58.74,56.41,81,92,10.0
goundam,ml,16.42,-3.66,84.64,32,80,3.58
clyde river,ca,70.47,-68.59,-13.01,83,90,33.33
bethel,us,60.79,-161.76,37.4,100,75,18.34
kefalos,gr,36.75,26.96,51.8,100,0,28.19
kurchum,kz,48.57,83.65,17.77,73,20,1.57
albany,au,-35.02,117.88,55.4,76,90,4.7
barrow,us,39.51,-90.4,60.55,71,90,7.38
victoria,sc,-4.62,55.45,84.2,79,40,3.36
provideniya,ru,64.42,-173.23,32.0,98,90,17.9
aktau,kz,43.65,51.16,42.8,81,90,13.42
carnarvon,au,-24.87,113.63,75.2,69,0,8.05
